HeartRate,Rhythm,PRInterval,QRS,Axis,STSegment,TWave,QTc,PWave,Class
59,AFib,0.2,0.12,104,1.79,Flat,455,Normal,Critical
117,Irregular,0.2,0.09,-52,0.29,Tall,389,Absent/Flutter,Critical
117,VF,0.29,0.11,6,-1.0,Flat,484,Normal,Critical
78,Irregular,0.21,0.12,33,1.19,Deep Inverted,402,Normal,Critical
110,AFib,0.17,0.13,-116,-1.96,Biphasic,498,Normal,Critical
101,VF,0.19,0.1,-3,-0.12,Flat,470,Normal,Risky
91,PACs/PVCs,0.17,0.12,50,-0.14,Tall,433,Enlarged/Biphasic,Critical
57,Irregular,0.11,0.15,77,1.08,Tall,396,Normal,Critical
45,AFib,0.29,0.12,23,-1.09,Biphasic,349,Enlarged/Biphasic,Critical
48,VF,0.15,0.08,-89,1.62,Deep Inverted,450,Enlarged/Biphasic,Critical
46,AFib,0.11,0.12,-97,-0.6,Tall,379,Enlarged/Biphasic,Critical
79,AFib,0.24,0.1,-112,-1.47,Biphasic,440,Normal,Critical
123,Irregular,0.29,0.13,39,0.75,Biphasic,456,Enlarged/Biphasic,Critical
42,AFib,0.16,0.09,72,-1.11,Normal,409,Absent/Flutter,Critical
82,PACs/PVCs,0.11,0.08,94,1.78,Mild Inverted,391,Absent/Flutter,Critical
83,Irregular,0.24,0.15,35,-0.43,Normal,454,Enlarged/Biphasic,Critical
40,PACs/PVCs,0.2,0.13,13,-1.05,Biphasic,498,Absent/Flutter,Critical
89,AFib,0.16,0.12,118,0.86,Normal,388,Normal,Risky
96,AFib,0.27,0.14,66,-1.56,Biphasic,475,Normal,Critical
108,PACs/PVCs,0.3,0.14,-74,-1.5,Tall,490,Normal,Critical
93,Irregular,0.23,0.13,-93,-1.43,Flat,479,Normal,Critical
89,PACs/PVCs,0.22,0.12,127,-0.82,Tall,405,Absent/Flutter,Critical
119,AFib,0.28,0.15,-18,1.61,Deep Inverted,342,Enlarged/Biphasic,Critical
105,PACs/PVCs,0.25,0.14,-105,0.54,Normal,442,Normal,Critical
108,Irregular,0.16,0.12,136,-0.95,Tall,418,Absent/Flutter,Critical
79,PACs/PVCs,0.2,0.13,-49,-1.2,Deep Inverted,494,Absent/Flutter,Critical
90,VF,0.24,0.09,-15,-1.14,Normal,441,Normal,Critical
59,VF,0.15,0.12,5,1.38,Biphasic,356,Normal,Critical
43,AFib,0.12,0.11,54,0.46,Flat,393,Enlarged/Biphasic,Critical
49,Regular,0.26,0.12,106,1.6,Tall,377,Normal,Critical
94,AFib,0.28,0.09,-51,0.94,Tall,463,Enlarged/Biphasic,Critical
122,AFib,0.22,0.12,-74,-1.1,Deep Inverted,479,Enlarged/Biphasic,Critical
76,Regular,0.16,0.12,84,1.82,Tall,429,Enlarged/Biphasic,Critical
93,PACs/PVCs,0.14,0.09,59,-1.97,Flat,427,Absent/Flutter,Critical
117,Regular,0.17,0.12,118,1.04,Biphasic,393,Enlarged/Biphasic,Critical
85,Regular,0.21,0.11,-107,0.35,Flat,461,Enlarged/Biphasic,Critical
76,VF,0.15,0.13,-84,0.62,Biphasic,457,Normal,Risky
60,VF,0.2,0.09,-48,1.27,Flat,431,Absent/Flutter,Critical
102,VF,0.26,0.15,55,-1.17,Biphasic,411,Normal,Critical
119,AFib,0.11,0.15,101,-0.18,Mild Inverted,470,Enlarged/Biphasic,Critical
70,VF,0.15,0.16,-26,1.15,Mild Inverted,422,Enlarged/Biphasic,Critical
61,Regular,0.19,0.11,91,0.34,Tall,459,Absent/Flutter,Critical
46,Irregular,0.13,0.12,-6,1.85,Deep Inverted,472,Absent/Flutter,Critical
68,PACs/PVCs,0.21,0.16,-119,1.99,Flat,443,Enlarged/Biphasic,Critical
51,VF,0.16,0.15,82,-1.92,Normal,427,Enlarged/Biphasic,Critical
101,VF,0.25,0.14,48,-1.58,Tall,372,Normal,Critical
40,PACs/PVCs,0.19,0.1,0,-0.81,Mild Inverted,484,Normal,Critical
73,Irregular,0.21,0.08,128,0.38,Normal,442,Normal,Critical
91,VF,0.12,0.1,21,-0.29,Deep Inverted,460,Normal,Critical
56,PACs/PVCs,0.19,0.09,-106,-1.9,Tall,411,Enlarged/Biphasic,Critical
104,VF,0.18,0.09,-50,0.78,Flat,414,Enlarged/Biphasic,Risky
102,Irregular,0.3,0.09,3,-0.56,Normal,444,Enlarged/Biphasic,Critical
46,PACs/PVCs,0.28,0.15,-77,1.82,Normal,476,Normal,Critical
129,VF,0.12,0.14,-35,-1.71,Normal,478,Normal,Critical
42,VF,0.24,0.12,-3,-1.69,Normal,366,Enlarged/Biphasic,Critical
72,PACs/PVCs,0.14,0.15,64,-1.69,Mild Inverted,461,Enlarged/Biphasic,Critical
112,AFib,0.27,0.12,-61,-0.73,Deep Inverted,448,Absent/Flutter,Critical
40,Irregular,0.24,0.12,-80,1.62,Mild Inverted,386,Normal,Critical
83,Irregular,0.29,0.1,128,0.18,Normal,407,Enlarged/Biphasic,Critical
74,AFib,0.26,0.14,97,1.87,Biphasic,474,Absent/Flutter,Critical
109,VF,0.12,0.13,43,-0.01,Tall,425,Normal,Critical
64,Regular,0.19,0.08,62,0.95,Tall,453,Absent/Flutter,Critical
41,Irregular,0.29,0.12,47,1.4,Normal,435,Absent/Flutter,Critical
51,AFib,0.25,0.15,92,1.81,Tall,439,Enlarged/Biphasic,Critical
58,Regular,0.2,0.12,73,0.26,Flat,456,Enlarged/Biphasic,Risky
110,PACs/PVCs,0.13,0.13,-4,0.38,Deep Inverted,342,Absent/Flutter,Critical
110,Regular,0.13,0.09,-73,-0.12,Biphasic,400,Normal,Risky
115,AFib,0.2,0.1,110,0.87,Mild Inverted,381,Absent/Flutter,Critical
47,Irregular,0.21,0.09,105,0.14,Mild Inverted,347,Enlarged/Biphasic,Critical
70,Regular,0.24,0.1,-61,-0.75,Deep Inverted,379,Enlarged/Biphasic,Critical
95,Regular,0.26,0.11,119,-0.51,Mild Inverted,496,Enlarged/Biphasic,Critical
72,PACs/PVCs,0.3,0.15,120,0.34,Normal,376,Enlarged/Biphasic,Critical
127,VF,0.17,0.08,-56,1.42,Mild Inverted,473,Normal,Critical
103,AFib,0.23,0.12,-5,1.71,Biphasic,450,Normal,Critical
80,Regular,0.19,0.13,49,-1.74,Mild Inverted,349,Normal,Critical
60,PACs/PVCs,0.25,0.09,30,0.36,Normal,428,Absent/Flutter,Critical
82,Regular,0.18,0.13,-14,0.44,Mild Inverted,446,Absent/Flutter,Critical
85,Regular,0.24,0.11,-36,1.22,Biphasic,369,Normal,Critical
46,PACs/PVCs,0.15,0.12,-29,-1.17,Normal,397,Enlarged/Biphasic,Critical
94,AFib,0.11,0.13,15,0.04,Tall,496,Normal,Critical
53,AFib,0.22,0.1,-71,1.7,Normal,349,Enlarged/Biphasic,Critical
47,PACs/PVCs,0.11,0.1,-65,-1.5,Flat,346,Normal,Critical
129,Irregular,0.17,0.14,-20,-0.02,Deep Inverted,444,Absent/Flutter,Critical
51,Irregular,0.15,0.09,64,-0.67,Flat,497,Normal,Critical
107,VF,0.23,0.14,97,-1.27,Deep Inverted,395,Absent/Flutter,Critical
71,VF,0.15,0.15,14,1.42,Deep Inverted,417,Normal,Critical
66,Irregular,0.2,0.16,-119,-1.26,Deep Inverted,475,Enlarged/Biphasic,Critical
42,Regular,0.13,0.09,42,-0.17,Biphasic,451,Absent/Flutter,Critical
41,AFib,0.25,0.14,98,-0.34,Tall,364,Absent/Flutter,Critical
82,Irregular,0.15,0.13,23,1.96,Biphasic,365,Absent/Flutter,Critical
125,Regular,0.26,0.08,38,1.77,Mild Inverted,442,Enlarged/Biphasic,Critical
119,Irregular,0.23,0.08,-28,0.07,Mild Inverted,341,Normal,Critical
127,AFib,0.26,0.15,-117,-0.64,Deep Inverted,390,Normal,Critical
69,Irregular,0.2,0.13,116,0.24,Deep Inverted,498,Enlarged/Biphasic,Critical
123,VF,0.15,0.15,16,1.56,Tall,427,Enlarged/Biphasic,Critical
85,Regular,0.13,0.12,-109,-1.17,Deep Inverted,424,Enlarged/Biphasic,Critical
49,PACs/PVCs,0.11,0.08,-114,-1.16,Deep Inverted,401,Normal,Critical
71,PACs/PVCs,0.24,0.11,39,-1.29,Normal,356,Absent/Flutter,Critical
77,Regular,0.18,0.16,-115,1.74,Deep Inverted,340,Enlarged/Biphasic,Critical
87,Regular,0.1,0.09,-53,0.24,Flat,383,Enlarged/Biphasic,Critical
116,Regular,0.27,0.13,-115,1.61,Tall,393,Enlarged/Biphasic,Critical
109,Irregular,0.21,0.16,-47,1.28,Flat,457,Normal,Critical
75,AFib,0.29,0.12,-104,0.62,Deep Inverted,434,Enlarged/Biphasic,Critical
96,VF,0.28,0.11,148,1.75,Deep Inverted,406,Enlarged/Biphasic,Critical
97,VF,0.29,0.11,123,1.14,Flat,409,Absent/Flutter,Critical
65,VF,0.28,0.11,47,-0.32,Tall,358,Normal,Critical
45,Regular,0.18,0.16,-79,-0.06,Normal,410,Normal,Critical
79,VF,0.21,0.14,25,-0.44,Flat,411,Normal,Risky
96,VF,0.19,0.15,-15,-1.27,Biphasic,378,Normal,Critical
44,Irregular,0.26,0.09,18,1.75,Tall,362,Enlarged/Biphasic,Critical
60,AFib,0.17,0.13,-55,-0.17,Deep Inverted,399,Normal,Critical
73,AFib,0.19,0.15,36,1.06,Normal,497,Absent/Flutter,Critical
111,Irregular,0.24,0.15,-88,1.23,Mild Inverted,352,Enlarged/Biphasic,Critical
111,PACs/PVCs,0.1,0.12,121,1.63,Flat,498,Normal,Critical
112,Regular,0.27,0.13,-26,-1.23,Normal,484,Normal,Critical
112,PACs/PVCs,0.18,0.09,-19,1.07,Normal,341,Enlarged/Biphasic,Critical
54,PACs/PVCs,0.25,0.12,-48,-0.76,Flat,382,Normal,Risky
123,Irregular,0.21,0.13,41,0.85,Deep Inverted,357,Absent/Flutter,Critical
113,AFib,0.28,0.15,-53,0.92,Mild Inverted,408,Normal,Critical
78,Regular,0.28,0.1,-103,0.46,Deep Inverted,452,Absent/Flutter,Critical
110,Irregular,0.17,0.11,0,-0.72,Biphasic,392,Absent/Flutter,Critical
64,AFib,0.15,0.11,-17,-1.92,Biphasic,488,Enlarged/Biphasic,Critical
104,Irregular,0.23,0.09,80,-0.22,Tall,441,Normal,Critical
85,Regular,0.18,0.08,51,-1.15,Normal,474,Absent/Flutter,Critical
56,Irregular,0.16,0.13,-28,0.28,Deep Inverted,390,Enlarged/Biphasic,Critical
77,Regular,0.27,0.13,60,-1.15,Flat,384,Enlarged/Biphasic,Critical
123,PACs/PVCs,0.17,0.11,45,1.28,Flat,494,Absent/Flutter,Critical
79,AFib,0.27,0.12,-92,1.4,Normal,411,Enlarged/Biphasic,Critical
61,VF,0.14,0.16,-30,0.81,Mild Inverted,435,Enlarged/Biphasic,Critical
55,PACs/PVCs,0.24,0.1,-117,0.56,Biphasic,482,Enlarged/Biphasic,Critical
122,Regular,0.26,0.11,-48,1.59,Mild Inverted,406,Absent/Flutter,Critical
128,Irregular,0.18,0.09,69,-1.12,Tall,463,Absent/Flutter,Critical
61,VF,0.23,0.12,0,-0.29,Normal,434,Absent/Flutter,Critical
102,PACs/PVCs,0.14,0.15,111,-0.79,Deep Inverted,468,Enlarged/Biphasic,Critical
88,AFib,0.29,0.16,148,-1.31,Normal,494,Absent/Flutter,Critical
41,Irregular,0.11,0.09,-102,-0.46,Mild Inverted,375,Absent/Flutter,Critical
53,Irregular,0.21,0.15,-24,1.39,Deep Inverted,355,Normal,Critical
62,Regular,0.17,0.12,122,-1.33,Deep Inverted,374,Normal,Critical
107,AFib,0.26,0.1,136,-0.25,Flat,415,Enlarged/Biphasic,Critical
64,VF,0.12,0.1,21,-0.13,Mild Inverted,461,Enlarged/Biphasic,Risky
85,PACs/PVCs,0.23,0.08,-38,0.6,Mild Inverted,358,Enlarged/Biphasic,Critical
111,VF,0.12,0.09,9,-1.48,Deep Inverted,489,Absent/Flutter,Critical
104,Regular,0.15,0.13,27,-1.63,Tall,470,Enlarged/Biphasic,Critical
127,Regular,0.14,0.09,49,-0.54,Biphasic,360,Normal,Critical
86,Regular,0.29,0.09,88,-1.18,Biphasic,348,Enlarged/Biphasic,Critical
76,Irregular,0.18,0.08,-107,0.56,Deep Inverted,421,Enlarged/Biphasic,Critical
90,Regular,0.18,0.1,4,-0.99,Tall,452,Normal,Critical
109,AFib,0.24,0.15,-116,-1.0,Deep Inverted,449,Normal,Critical
123,Irregular,0.16,0.08,114,1.71,Mild Inverted,472,Enlarged/Biphasic,Critical
59,Regular,0.23,0.11,116,-1.92,Flat,492,Absent/Flutter,Critical
53,PACs/PVCs,0.13,0.11,23,-1.41,Deep Inverted,470,Normal,Critical
72,Irregular,0.21,0.13,-14,0.75,Flat,465,Normal,Risky
76,AFib,0.26,0.09,-31,0.48,Flat,362,Normal,Critical
78,PACs/PVCs,0.24,0.13,32,-0.31,Biphasic,420,Normal,Risky
77,Regular,0.3,0.11,61,0.96,Deep Inverted,420,Enlarged/Biphasic,Critical
72,AFib,0.29,0.15,92,-1.99,Tall,388,Enlarged/Biphasic,Critical
40,Regular,0.27,0.15,-57,0.0,Deep Inverted,471,Enlarged/Biphasic,Critical
89,AFib,0.18,0.11,-112,1.86,Flat,416,Absent/Flutter,Critical
43,AFib,0.23,0.13,-46,-0.53,Flat,437,Enlarged/Biphasic,Critical
115,Regular,0.24,0.13,139,0.18,Biphasic,451,Normal,Critical
111,PACs/PVCs,0.24,0.11,-32,1.09,Mild Inverted,362,Enlarged/Biphasic,Critical
105,VF,0.24,0.14,42,-0.62,Tall,488,Absent/Flutter,Critical
128,AFib,0.24,0.13,20,0.48,Deep Inverted,439,Normal,Critical
122,PACs/PVCs,0.18,0.09,-70,1.69,Tall,383,Normal,Critical
46,VF,0.13,0.13,14,0.54,Flat,410,Absent/Flutter,Critical
113,VF,0.14,0.13,102,-1.28,Flat,447,Absent/Flutter,Critical
60,VF,0.17,0.11,70,1.19,Flat,481,Enlarged/Biphasic,Critical
55,Irregular,0.28,0.12,-64,-0.09,Deep Inverted,352,Enlarged/Biphasic,Critical
108,Irregular,0.13,0.15,-87,1.29,Biphasic,342,Normal,Critical
68,PACs/PVCs,0.2,0.1,-40,-1.88,Tall,398,Absent/Flutter,Critical
105,Regular,0.2,0.09,-114,-1.33,Normal,372,Normal,Critical
92,AFib,0.26,0.15,79,1.88,Tall,417,Enlarged/Biphasic,Critical
52,VF,0.28,0.09,143,-0.45,Biphasic,445,Absent/Flutter,Critical
100,Regular,0.21,0.08,-93,0.96,Biphasic,477,Enlarged/Biphasic,Critical
70,AFib,0.26,0.1,121,-0.9,Biphasic,474,Enlarged/Biphasic,Critical
111,AFib,0.25,0.08,136,0.77,Biphasic,395,Normal,Critical
83,Irregular,0.24,0.1,-14,-1.36,Mild Inverted,407,Enlarged/Biphasic,Critical
59,Irregular,0.25,0.12,18,-1.01,Mild Inverted,341,Absent/Flutter,Critical
98,Irregular,0.26,0.16,-86,-1.81,Biphasic,494,Normal,Critical
129,Irregular,0.13,0.11,82,0.08,Flat,340,Normal,Critical
125,PACs/PVCs,0.25,0.12,-4,1.1,Flat,493,Absent/Flutter,Critical
57,VF,0.19,0.15,38,0.93,Normal,376,Normal,Critical
57,PACs/PVCs,0.17,0.15,-40,-0.42,Mild Inverted,437,Enlarged/Biphasic,Critical
56,PACs/PVCs,0.11,0.11,38,0.91,Tall,424,Enlarged/Biphasic,Critical
116,Regular,0.24,0.09,66,-1.95,Flat,463,Normal,Critical
126,Regular,0.12,0.09,0,-0.65,Tall,394,Enlarged/Biphasic,Critical
55,Regular,0.14,0.09,80,-1.66,Normal,482,Normal,Critical
105,PACs/PVCs,0.19,0.09,56,1.72,Mild Inverted,395,Absent/Flutter,Critical
99,Irregular,0.25,0.14,-109,0.57,Mild Inverted,485,Enlarged/Biphasic,Critical
119,Irregular,0.14,0.11,120,0.89,Mild Inverted,442,Enlarged/Biphasic,Critical
119,PACs/PVCs,0.13,0.11,-92,-1.01,Normal,476,Enlarged/Biphasic,Critical
49,Irregular,0.12,0.16,82,-1.96,Tall,466,Absent/Flutter,Critical
113,PACs/PVCs,0.19,0.12,36,0.9,Tall,452,Normal,Critical
74,AFib,0.29,0.11,139,-1.55,Tall,460,Absent/Flutter,Critical
76,Regular,0.18,0.1,-68,-0.92,Biphasic,404,Normal,Risky
46,PACs/PVCs,0.2,0.12,-81,-0.5,Biphasic,363,Absent/Flutter,Critical
95,AFib,0.25,0.1,27,-1.18,Normal,463,Absent/Flutter,Critical
107,PACs/PVCs,0.24,0.15,77,-1.95,Mild Inverted,405,Absent/Flutter,Critical
46,AFib,0.18,0.08,137,1.34,Normal,424,Enlarged/Biphasic,Critical
53,Regular,0.11,0.13,-77,-0.04,Deep Inverted,418,Normal,Critical
79,Irregular,0.13,0.15,121,-1.93,Deep Inverted,365,Normal,Critical
125,Irregular,0.27,0.12,111,-0.96,Mild Inverted,395,Normal,Critical
87,Regular,0.16,0.12,-23,1.77,Tall,404,Normal,Critical
128,Regular,0.22,0.08,-96,-1.59,Normal,476,Absent/Flutter,Critical
69,Regular,0.27,0.14,-3,-1.45,Mild Inverted,481,Absent/Flutter,Critical
120,VF,0.12,0.11,72,1.63,Tall,391,Normal,Critical
113,VF,0.13,0.14,-31,0.63,Tall,397,Absent/Flutter,Critical
108,Regular,0.23,0.11,34,-1.06,Tall,369,Normal,Critical
88,Irregular,0.24,0.09,104,-1.76,Normal,396,Absent/Flutter,Critical
99,Regular,0.15,0.15,-21,-0.01,Deep Inverted,458,Enlarged/Biphasic,Critical
79,Regular,0.19,0.12,76,-0.77,Mild Inverted,340,Absent/Flutter,Critical
122,Irregular,0.13,0.08,59,0.04,Flat,477,Enlarged/Biphasic,Critical
93,PACs/PVCs,0.1,0.12,-3,1.26,Mild Inverted,377,Enlarged/Biphasic,Critical
126,AFib,0.16,0.12,-76,-0.45,Biphasic,408,Absent/Flutter,Critical
99,AFib,0.21,0.1,-31,0.77,Normal,452,Enlarged/Biphasic,Risky
69,VF,0.27,0.11,-27,-1.64,Deep Inverted,413,Absent/Flutter,Critical
49,VF,0.26,0.15,-13,1.16,Tall,485,Absent/Flutter,Critical
94,Regular,0.14,0.12,-22,-1.47,Deep Inverted,477,Normal,Critical
104,VF,0.26,0.13,145,-1.56,Flat,361,Normal,Critical
112,VF,0.21,0.14,71,-0.43,Deep Inverted,436,Enlarged/Biphasic,Critical
121,Regular,0.21,0.12,-81,0.8,Biphasic,478,Normal,Critical
108,VF,0.1,0.13,62,1.8,Biphasic,419,Absent/Flutter,Critical
44,AFib,0.15,0.11,100,1.96,Flat,430,Enlarged/Biphasic,Critical
69,Irregular,0.14,0.08,-104,1.48,Normal,379,Absent/Flutter,Critical
43,AFib,0.14,0.12,63,-0.89,Biphasic,487,Enlarged/Biphasic,Critical
56,Irregular,0.22,0.13,132,-1.45,Normal,497,Absent/Flutter,Critical
84,Regular,0.16,0.09,149,1.49,Tall,474,Enlarged/Biphasic,Critical
87,Irregular,0.11,0.09,33,0.22,Mild Inverted,347,Absent/Flutter,Critical
107,VF,0.23,0.09,-105,0.97,Biphasic,484,Normal,Critical
79,Irregular,0.26,0.13,145,1.13,Mild Inverted,424,Normal,Critical
125,AFib,0.11,0.16,-42,1.95,Tall,374,Absent/Flutter,Critical
68,VF,0.14,0.12,95,1.75,Flat,397,Enlarged/Biphasic,Critical
99,PACs/PVCs,0.27,0.11,-58,-0.38,Deep Inverted,384,Enlarged/Biphasic,Critical
44,PACs/PVCs,0.11,0.12,71,0.08,Deep Inverted,400,Absent/Flutter,Critical
70,PACs/PVCs,0.14,0.1,-114,1.22,Normal,343,Normal,Critical
107,AFib,0.14,0.11,5,0.56,Tall,445,Normal,Critical
81,Regular,0.21,0.14,-35,-1.77,Mild Inverted,389,Absent/Flutter,Critical
60,VF,0.11,0.12,54,-1.05,Flat,433,Enlarged/Biphasic,Critical
60,PACs/PVCs,0.3,0.14,113,-0.86,Flat,476,Normal,Critical
69,Regular,0.21,0.12,36,-0.56,Flat,446,Enlarged/Biphasic,Risky
69,PACs/PVCs,0.14,0.11,42,-1.24,Biphasic,394,Normal,Critical
97,AFib,0.17,0.1,-110,1.23,Normal,391,Enlarged/Biphasic,Critical
93,PACs/PVCs,0.16,0.14,134,-1.53,Normal,454,Normal,Critical
49,Irregular,0.19,0.13,4,1.63,Mild Inverted,353,Normal,Critical
82,Irregular,0.21,0.13,91,-0.53,Normal,454,Normal,Risky
99,Regular,0.24,0.12,18,-0.54,Biphasic,400,Enlarged/Biphasic,Risky
48,VF,0.22,0.15,14,-0.88,Flat,480,Normal,Critical
80,PACs/PVCs,0.17,0.09,-90,1.16,Flat,383,Absent/Flutter,Critical
92,PACs/PVCs,0.18,0.09,96,0.17,Normal,346,Normal,Critical
64,VF,0.11,0.09,119,-1.92,Tall,399,Absent/Flutter,Critical
52,PACs/PVCs,0.12,0.16,-28,0.4,Biphasic,445,Enlarged/Biphasic,Critical
58,PACs/PVCs,0.23,0.11,52,-1.81,Normal,418,Absent/Flutter,Critical
116,PACs/PVCs,0.29,0.11,60,1.77,Biphasic,453,Enlarged/Biphasic,Critical
127,VF,0.3,0.15,-100,1.65,Biphasic,342,Enlarged/Biphasic,Critical
120,PACs/PVCs,0.24,0.12,-5,-1.47,Mild Inverted,360,Enlarged/Biphasic,Critical
115,VF,0.16,0.12,22,-1.67,Biphasic,375,Normal,Critical
84,Irregular,0.18,0.09,-84,-1.58,Normal,448,Normal,Critical
94,Irregular,0.29,0.14,-93,-1.49,Normal,344,Absent/Flutter,Critical
66,PACs/PVCs,0.18,0.15,97,-0.85,Biphasic,461,Normal,Critical
66,AFib,0.16,0.09,11,-0.32,Tall,397,Normal,Critical
103,Regular,0.24,0.12,-18,-0.91,Biphasic,384,Normal,Risky
63,PACs/PVCs,0.18,0.11,96,0.45,Biphasic,404,Normal,Risky
48,Irregular,0.2,0.13,83,-1.2,Tall,440,Absent/Flutter,Critical
104,VF,0.3,0.16,-78,-1.65,Deep Inverted,496,Absent/Flutter,Critical
72,Regular,0.24,0.09,51,1.1,Mild Inverted,388,Normal,Critical
87,PACs/PVCs,0.14,0.09,-84,1.19,Deep Inverted,353,Normal,Critical
115,VF,0.28,0.15,-94,-1.51,Biphasic,393,Normal,Critical
106,PACs/PVCs,0.16,0.11,-95,-1.25,Biphasic,346,Enlarged/Biphasic,Critical
99,PACs/PVCs,0.21,0.1,60,1.93,Deep Inverted,491,Absent/Flutter,Critical
98,VF,0.18,0.14,-67,-0.93,Tall,372,Normal,Critical
87,Regular,0.22,0.1,-5,1.99,Flat,371,Normal,Critical
112,Regular,0.23,0.15,66,-0.3,Flat,430,Absent/Flutter,Critical
106,AFib,0.1,0.16,88,0.18,Deep Inverted,342,Absent/Flutter,Critical
44,Regular,0.18,0.15,-116,1.66,Flat,429,Enlarged/Biphasic,Critical
56,PACs/PVCs,0.21,0.11,-96,-1.46,Normal,437,Absent/Flutter,Critical
64,PACs/PVCs,0.18,0.09,-28,0.01,Deep Inverted,458,Absent/Flutter,Critical
99,Irregular,0.25,0.12,111,0.75,Flat,484,Absent/Flutter,Critical
80,PACs/PVCs,0.12,0.15,56,-0.24,Flat,355,Enlarged/Biphasic,Critical
51,Regular,0.29,0.13,-102,1.09,Mild Inverted,348,Absent/Flutter,Critical
106,VF,0.27,0.14,-97,1.81,Biphasic,382,Normal,Critical
120,Regular,0.19,0.13,-67,-1.04,Biphasic,360,Normal,Critical
45,Regular,0.22,0.08,128,0.8,Tall,361,Normal,Critical
58,AFib,0.19,0.13,-55,-0.72,Tall,484,Normal,Critical
114,PACs/PVCs,0.26,0.11,94,1.63,Flat,386,Absent/Flutter,Critical
95,VF,0.25,0.11,23,1.16,Flat,397,Normal,Critical
97,VF,0.14,0.09,11,1.1,Flat,380,Enlarged/Biphasic,Critical
55,AFib,0.22,0.12,132,0.71,Mild Inverted,477,Enlarged/Biphasic,Critical
84,Irregular,0.26,0.14,6,0.6,Biphasic,374,Enlarged/Biphasic,Critical
100,VF,0.24,0.13,-41,1.01,Mild Inverted,471,Normal,Critical
105,PACs/PVCs,0.22,0.13,27,1.22,Mild Inverted,374,Enlarged/Biphasic,Critical
40,Regular,0.14,0.14,22,-1.77,Flat,368,Absent/Flutter,Critical
44,VF,0.11,0.08,-14,-0.61,Tall,491,Absent/Flutter,Critical
45,Regular,0.21,0.1,-74,-1.73,Tall,471,Absent/Flutter,Critical
116,Regular,0.19,0.13,-87,0.2,Tall,416,Enlarged/Biphasic,Critical
73,PACs/PVCs,0.18,0.14,34,-1.3,Mild Inverted,341,Normal,Critical
110,VF,0.16,0.11,59,-1.93,Normal,464,Enlarged/Biphasic,Critical
85,VF,0.14,0.09,-96,-0.34,Normal,389,Normal,Critical
66,Regular,0.27,0.09,37,0.54,Biphasic,389,Enlarged/Biphasic,Critical
125,AFib,0.25,0.09,61,-0.61,Tall,344,Absent/Flutter,Critical
120,PACs/PVCs,0.11,0.09,-57,-0.32,Deep Inverted,455,Absent/Flutter,Critical
105,PACs/PVCs,0.17,0.09,12,-0.15,Mild Inverted,465,Normal,Risky
72,Irregular,0.1,0.09,-32,-1.72,Deep Inverted,458,Normal,Critical
111,PACs/PVCs,0.15,0.14,-101,-0.33,Flat,396,Enlarged/Biphasic,Critical
89,PACs/PVCs,0.22,0.13,27,-1.13,Tall,372,Absent/Flutter,Critical
107,VF,0.21,0.15,-68,0.97,Mild Inverted,357,Enlarged/Biphasic,Critical
67,AFib,0.11,0.14,36,1.79,Deep Inverted,447,Enlarged/Biphasic,Critical
54,Irregular,0.27,0.09,-29,0.72,Deep Inverted,435,Normal,Critical
74,VF,0.28,0.09,-111,-1.38,Deep Inverted,403,Absent/Flutter,Critical
67,VF,0.12,0.1,-67,-1.35,Biphasic,451,Enlarged/Biphasic,Critical
47,VF,0.29,0.12,-74,0.04,Flat,361,Normal,Critical
102,Regular,0.29,0.11,-54,0.76,Mild Inverted,403,Absent/Flutter,Critical
108,Irregular,0.12,0.12,-37,-0.15,Biphasic,456,Absent/Flutter,Critical
49,VF,0.1,0.08,-12,-1.35,Flat,349,Normal,Critical
47,PACs/PVCs,0.25,0.14,-27,0.28,Flat,398,Normal,Critical
43,Irregular,0.21,0.15,-59,0.62,Tall,383,Absent/Flutter,Critical
106,Irregular,0.24,0.12,-115,-0.55,Deep Inverted,357,Normal,Critical
78,PACs/PVCs,0.1,0.11,27,1.73,Deep Inverted,366,Normal,Critical
80,PACs/PVCs,0.28,0.12,-90,0.79,Flat,400,Absent/Flutter,Critical
83,Irregular,0.12,0.14,39,-1.07,Flat,456,Absent/Flutter,Critical
108,Irregular,0.2,0.1,137,-1.19,Mild Inverted,470,Absent/Flutter,Critical
126,PACs/PVCs,0.19,0.15,109,-1.57,Flat,417,Enlarged/Biphasic,Critical
118,Regular,0.23,0.15,-96,0.13,Flat,353,Enlarged/Biphasic,Critical
129,AFib,0.12,0.1,110,-1.68,Mild Inverted,368,Enlarged/Biphasic,Critical
105,PACs/PVCs,0.12,0.09,34,-0.06,Mild Inverted,372,Absent/Flutter,Critical
68,Regular,0.23,0.12,140,-0.94,Flat,379,Normal,Critical
69,Regular,0.28,0.15,-3,-0.17,Deep Inverted,411,Absent/Flutter,Critical
55,Irregular,0.29,0.11,48,-0.13,Deep Inverted,347,Absent/Flutter,Critical
110,PACs/PVCs,0.24,0.13,-61,1.32,Normal,398,Enlarged/Biphasic,Critical
62,VF,0.22,0.09,-13,-0.94,Biphasic,392,Enlarged/Biphasic,Risky
41,VF,0.14,0.09,-100,1.44,Deep Inverted,414,Normal,Critical
95,Regular,0.23,0.15,19,0.18,Mild Inverted,455,Enlarged/Biphasic,Critical
41,AFib,0.14,0.11,81,0.93,Deep Inverted,369,Enlarged/Biphasic,Critical
